"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Chhattisgarh State Warehousing Corporation","CGSWC, Ambikapur (Chatirma)","6628200","(Chatirma), ambikapur,","Surguja","CHHATTISGARH","8584","12-Sep-2022","11-Sep-2027","9754339884","Active",""
"Chhattisgarh State Warehousing Corporation","cgswc,Geedam (jagadalpur Road)","6723068","(jagadalpur Road),","Dakshin Bastar Dantewada","CHHATTISGARH","1160","29-May-2023","28-May-2028","7724968566","Active",""
"Chhattisgarh State Warehousing Corporation","cgswc,Bodla","6616056","jabalpur Road,Radha Swami Satsang vyas,","Kabeerdham","CHHATTISGARH","6264","16-Aug-2022","15-Aug-2027","9691375510","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC AKALTARA 2","6603542","ROGDA ROAD, MURLIHDIH","Janjgir - Champa","CHHATTISGARH","35960","19-Jul-2022","18-Jul-2027","9424256073","Active",""
"Chhattisgarh State Warehousing Corporation","cgswc kirodimal nagar","6615694","Kosampali Godamdopa,","Raigarh","CHHATTISGARH","21112","16-Aug-2022","15-Aug-2027","7747879470","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Gariyaband","6563852","Near Sai Mandir, Ward No. 1, Gariyaband,","Raipur","CHHATTISGARH","9512","25-Mar-2022","24-Mar-2027","9425514810","Active",""
"Chhattisgarh State Warehousing Corporation","cgswc,Bhanupratappur","6604805","Bajarpara,Bhanupratappur,","Uttar Bastar Kanker","CHHATTISGARH","7424","21-Jul-2022","20-Jul-2027","7354790654","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC PATAN","6564397","CHIGHAR KE PASS ATARI PATAN, CHIGHAR KE PASS ATARI PATAN","Durg","CHHATTISGARH","4176","25-Mar-2022","24-Mar-2027","7000079330","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Pithora (Savikala)","6617583","(Savikala),","Mahasamund","CHHATTISGARH","10440","17-Aug-2022","16-Aug-2027","9425597602","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC Bhopalpatanam","6617856","Tarlaguda Road Bhopalpatnam,","Bijapur","CHHATTISGARH","2320","17-Aug-2022","16-Aug-2027","7987305117","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC GHATLOHANGA","6565741","RAIPUR ROAD GHATLOHANGA,","Bastar","CHHATTISGARH","11136","28-Mar-2022","27-Mar-2027","9425480161","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, BASNA","6564215","AREKEL, NEAR TEHSIL OFFICE, RAIPUR ROAD, BASNA,","Mahasamund","CHHATTISGARH","35498","25-Mar-2022","24-Mar-2027","7000417727","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Narayanpur","6565659","Narayanpur,","Narayanpur","CHHATTISGARH","6496","28-Mar-2022","27-Mar-2027","9993329961","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC SIHAWA","6605794","DANTESHWARI PARA SIRSIDA ROAD,SIHAWA, DANTESHWARI PARA SIRSIDA ROAD,SIHAWA","Dhamtari","CHHATTISGARH","3248","22-Jul-2022","21-Jul-2027","9424276256","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC DHARSIWA","6564033","KUNURA ROAD,DHARSIWA, DISTT-RAIPUR","Raipur","CHHATTISGARH","4408","25-Mar-2022","24-Mar-2027","9685157861","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC RAJNANDGAON","6567457","GANJ CHOUK,","Rajnandgaon","CHHATTISGARH","66749","30-Mar-2022","29-Mar-2027","7898085085","Active",""
"Chhattisgarh State Warehousing Corporation","cgswc,Mainpur","6592562","CGSWC,Gourghat,","Raipur","CHHATTISGARH","4176","08-Jun-2022","07-Jun-2027","9754083411","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC DURG","6582571","NEW KRISHI UPAJ MANDI,","Durg","CHHATTISGARH","44022","29-May-2022","28-May-2027","9977737749","Active",""
"Chhattisgarh State Warehousing Corporation","cgswc,Bilaigrah","6585541","Basna road,Bilaigrah,","Raipur","CHHATTISGARH","3248","30-May-2022","29-May-2027","9755312443","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, DOUNDI","6576185","SALHAITOLA ROAD,","Durg","CHHATTISGARH","3248","23-May-2022","22-May-2027","8962611674","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KARANJA BHILAI","6619746","NEAR GOVT. HR. SEC. SCHOOL, KARANJA BHILAI,","Durg","CHHATTISGARH","20880","21-Aug-2022","20-Aug-2027","9424291696","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC RAMANUJGANJ","6633069","jail Road ward no. 3 ramanujganj,","Surguja","CHHATTISGARH","7656","22-Sep-2022","21-Sep-2027","9826505913","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC LOHARSINGH 2","6568539","PUSSORE ROAD RAIGARH, AURDHA RAIGARH","Raigarh","CHHATTISGARH","35496","31-Mar-2022","30-Mar-2027","7748086511","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Abhanpur (Belbhatha)","6622716","(Belbhatha),","Raipur","CHHATTISGARH","16704","29-Aug-2022","28-Aug-2027","9300403497","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Antagarh","6602460","Nayapara Antagarh,","Uttar Bastar Kanker","CHHATTISGARH","1160","19-Jul-2022","18-Jul-2027","7354790654","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC DHARSIWA (Manohara)","7081086","Tilda Road,Manohara Dharsiwa,","Raipur","CHHATTISGARH","9524","28-Apr-2025","27-Apr-2030","9301234316","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Lailunga","6568448","Hirapur Lailunga, Hirapur Lailunga","Raigarh","CHHATTISGARH","4176","31-Mar-2022","30-Mar-2027","9300771285","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, MARWAHI","6585723","VILLAGE-GULLIDAND, TEHSIL-MARWAHI, POST-BANSITHAL","Bilaspur","CHHATTISGARH","4176","30-May-2022","29-May-2027","9977227063","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Balodabazar (Main)","6665640","NEW BUS STAND ,BALODABAZAR,","Raipur","CHHATTISGARH","5986","26-Dec-2022","25-Dec-2027","9826182146","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, SUKMA","6572226","NEAR JAIL BADI DENTEWADA ROAD,","Dakshin Bastar Dantewada","CHHATTISGARH","4408","29-Apr-2022","28-Apr-2027","9406464376","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,Dongargaon","6592299","KARIYATOLA, Rajnandgaon to chauki Main road,kotiyatola","Rajnandgaon","CHHATTISGARH","8352","08-Jun-2022","07-Jun-2027","9165814875","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,Manendragarh","6568174","Bhaikunthpur Road,","Koriya","CHHATTISGARH","11600","31-Mar-2022","30-Mar-2027","9926810857","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KARGIROAD","6617229","POST-KOTA,,","Bilaspur","CHHATTISGARH","2320","17-Aug-2022","16-Aug-2027","9479174101","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, SAJA","6585277","SAJA(RAKHIJOBA),","Durg","CHHATTISGARH","9512","30-May-2022","29-May-2027","9827976559","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC SAIDA (Khiaradih)","7027261","Tiwaripara ,Khairadih ,Saida,","Bilaspur","CHHATTISGARH","7937","28-Feb-2025","27-Feb-2030","8103992736","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC JASHPURNAGAR (Gholeng)","7082076","Ranchi Road Gholeng,","Jashpur","CHHATTISGARH","7944","29-Apr-2025","28-Apr-2030","9424256073","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KARGIROAD(kalan parishar )","6702278","POST-KOTA,,","Bilaspur","CHHATTISGARH","7200","31-Mar-2023","30-Mar-2028","8817222664","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KAWARDHA (Main Office, Loharanaka)","6705966","(Main Office, Loharanaka),","Kabeerdham","CHHATTISGARH","2320","31-Mar-2023","30-Mar-2028","9826156074","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, MOHALA","6666994","BHOJTOLA ROAD, MOHALA,","Rajnandgaon","CHHATTISGARH","3248","27-Dec-2022","26-Dec-2027","8839181019","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, SITAPUR (Chalta Parisar)","7097553","Chalta Parisar,","Surguja","CHHATTISGARH","1160","29-May-2025","28-May-2030","9617694120","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, SAKTI( Temar Parisar)","7030596","Temar Parisar,sakti,","Janjgir - Champa","CHHATTISGARH","16183","03-Mar-2025","02-Mar-2030","7000417727","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC KASDOL","6819999","RAIPUR ROAD KASDOL,","Raipur","CHHATTISGARH","3248","20-Dec-2023","19-Dec-2028","9424161683","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KATGHORA(korda road)","6820534","KATGHORA(korda road),","Korba","CHHATTISGARH","11600","21-Dec-2023","20-Dec-2028","9806820020","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, CHAMPA(jagdalla&Station road)","6821169","CGSWC, CHAMPA(jagdalla&Station road),","Janjgir - Champa","CHHATTISGARH","2320","21-Dec-2023","20-Dec-2028","9685859561","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, SARAGAON","6768964","SARAGAON,","Janjgir - Champa","CHHATTISGARH","18972","31-Jul-2023","30-Jul-2028","9685859561","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KURUD (MEGHAROAD)","6768600","KURUD (MEGHAROAD),","Dhamtari","CHHATTISGARH","3480","31-Jul-2023","30-Jul-2028","9424003498","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC LINGYADIH, BILASPUR","6581409","NEAR APPOLO HOSPITAL, SIPAT ROAD LINGIYADIH-BILAsPUR","Bilaspur","CHHATTISGARH","19720","27-May-2022","26-May-2027","9406205161","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,Pratappur (darhola )","6702724","darhola,","Surguja","CHHATTISGARH","4176","31-Mar-2023","30-Mar-2028","8717944151","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC Takhatpur","6586440","Near Polytechnic College,","Bilaspur","CHHATTISGARH","2088","30-May-2022","29-May-2027","9425537912","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC JASHPURNAGAR (Darbaritoli parisar )","6745475","Darbaritoli parisar,","Jashpur","CHHATTISGARH","2320","27-Jun-2023","26-Jun-2028","9329504563","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KHARORA","6563761","C.G. STATE Warehousing Corp. TILDA ROAD KHARORA, C.G. STATE Warehousing Corp. TILDA ROAD KHARORA","Raipur","CHHATTISGARH","8352","25-Mar-2022","24-Mar-2027","8435034263","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC,KAWARDHA (Dabrabhath)","6818280","Rabeli road,Dabarabhatha,","Kabeerdham","CHHATTISGARH","6264","18-Dec-2023","17-Dec-2028","9826156074","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, KUNKURI (Dugdugiya)","6628655","Dugdugiya,","Jashpur","CHHATTISGARH","1160","12-Sep-2022","11-Sep-2027","7879049348","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, Mungeli","6625230","Dhapai,Mungeli,","Bilaspur","CHHATTISGARH","25288","31-Aug-2022","30-Aug-2027","9826453575","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, WADRAFNAGAR (RAjkheta)","6796593","RAjkheta, wadrafnagar,","Surguja","CHHATTISGARH","1160","28-Oct-2023","27-Oct-2028","9009057591","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC KHARSIA","6567903","BEHIND KRISHI UPAJ MANDI,","Raigarh","CHHATTISGARH","47328","31-Mar-2022","30-Mar-2027","9425256680","Active",""
"Chhattisgarh State Warehousing Corporation","CGSWC, SARAIPALI","6578439","CHIBRRA,","Mahasamund","CHHATTISGARH","25520","24-May-2022","23-May-2027","8109787826","Active",""
